BCAT1	-3.28798494654332
CDK4	-3.17203781144935
LYRM5	-1.94224950435328
CCND2	-1.71853290780162
SEC11C	-1.34346717220894
CALCA	-1.29280986183763
APOD	-1.17021960221679
CD24	-0.571751607858868
TSPAN31	-0.0774197712626243
IFI27	1.09497186173695
CYB5A	1.18338808512694
PIGT	1.2174718139888
SPINT2	1.22976725157294
MT-CO3	1.33997189986288
UCHL1	1.35416884632949
MT-CO1	1.5519560327978
KRT8	1.57645013998494
HLA-B	1.61040528904397
MDK	1.62976242270198
NUCB2	1.68940654009732
ATG3	1.70645037326512
MT-CO2	1.74083946745129
SNU13	1.82032610398442
MDM2	1.82130812260675
COX7A2	1.8406931549531
MRPL51	1.92604288859191
HMGB2	1.99003807331743
