CGA	-4.83500456464213
DEFA6	-1.90592190590909
PHGR1	-1.84197360357428
RTBDN	-1.7239925930513
CHGA	-1.69054726400851
SLITRK6	-1.6862946988994
SYT13	-1.64561463363599
ZFHX4	-1.6417647375872
IGSF1	-1.61140174759383
ERICH3	-1.49564876649095
PGC	-1.42749052238493
ARHGEF25	-1.35743591177425
DRAIC	-1.32229892177039
PRAME	-1.30507881988853
PAGE2B	-1.28574002051767
TFF1	-1.20193404636954
LGSN	-1.16181268496315
IGFBP1	-1.15717201361999
BTBD17	-1.1438880432691
PCSK2	-1.08273611702357
NKX2-8	-1.06532151045888
CALB1	-1.00877797435823
DTX3	-0.99295139302824
RPRM	-0.951181414841395
PDZRN3	-0.944263392388352
MAGEA12	-0.940668990062077
PDIA2	-0.927417547210355
LDB3	-0.875836242700251
PRG4	-0.857286958431882
PHOX2B	-0.843619158345785
NKX2-2	-0.818875196183825
AGT	-0.815716712047116
CSAG1	-0.795034335544846
CERKL	-0.792399670365047
AKR1C4	-0.785124445675766
TCERG1L	-0.777691636802551
HOXD11	-0.776522599136383
SCG2	-0.7030352875214
ETV4	-0.690718467007477
PON3	-0.686526156580443
NTS	-0.646700129779247
HOXD10	-0.643964674633393
CHRNA3	-0.634139636538034
NECAB1	-0.588954898304362
TTC9B	-0.508729222478655
GRP	-0.506763988193446
RGS7	-0.472264517765154
CST1	-0.47165954282239
NR2F1	-0.454014685881715
SORBS2	-0.442516711631924
KIAA2022	-0.43467036328995
RP11-499F3.2	-0.430711657127954
SLC35D3	-0.371903510367916
KIF12	-0.351014875128461
PITX1	-0.321922807936891
CHST9	-0.305631136376512
RASSF6	-0.305300441209853
GDAP1L1	-0.283448610760169
CALCA	-0.263842738043182
CNTN4	-0.250738811395722
RIPPLY3	-0.210582639418574
NDUFA4L2	-0.21012325294904
DPP10	-0.209045537028565
MAGEA6	-0.196855532852625
XKR7	-0.194183870278133
SEZ6L2	-0.173002358029535
DIO2	-0.131458876892106
TRPA1	-0.131247190952989
CDH2	-0.0997865958561999
CTAG2	-0.0749759938086747
PRKD1	-0.0622251241191503
TMEM61	-0.0246818319413418
TPH1	-0.0186747779495615
RP11-44F21.5	0.00179080523399655
ZMAT4	0.0226523243769208
CA9	0.0288746701737086
DEFA5	0.0359945103771651
FGD1	0.0411991157677605
AJ006998.2	0.0874389412689922
CHGB	0.0938516412000041
SCG3	0.11527512545709
AC011298.2	0.116972889233105
USH1C	0.12435968688855
EYA2	0.137744295208179
FBLL1	0.145594294440528
PAH	0.161576829536875
DPH6-AS1	0.162150970527769
PCSK1N	0.166982702492454
KCNMB2	0.178972715312881
NOTUM	0.197684331633816
PEG3	0.22653350458096
CDK4	0.245417047600247
MAGEA1	0.246656591371554
TFF2	0.247842162755715
LRRC10B	0.255869906507295
OTP	0.274636043940172
KIF1A	0.289942832483991
C1ORF210	0.295940246411323
PTH2	0.304479829375103
NXPH4	0.316285310031509
HES6	0.322029262841432
SCG5	0.343978319854187
SMOC2	0.359479370735194
TMEM74	0.363868256960849
MNS1	0.375613843054238
MARK1	0.378467799011625
FA2H	0.378973032563881
RNF186	0.402032020107303
LINC01133	0.406780209544015
PAEP	0.414021185263373
MAGEA11	0.447688748759417
IGFBP5	0.449128098862535
GABRA4	0.452421996692888
LINC00632	0.464300709458367
FOXA2	0.473797140736469
GALNT5	0.481370101340037
RPRML	0.485355263874006
CELF4	0.494331103049316
PPP1R1C	0.496864495051584
IGFBP2	0.509977636911885
CTD-2147F2.1	0.510874143459903
LHX3	0.529599424517857
GRIA2	0.533163485846003
SYT1	0.537696646451508
ANXA13	0.548451908628886
RAB26	0.552988084023646
LGALS7B	0.58175951576716
TCEAL7	0.6036744560055
RP11-702B10.2	0.603719771287111
TM4SF5	0.60374446081418
POU4F1	0.612213629979612
RP11-165A20.3	0.632526542208026
HOXC6	0.637284506743336
SH3GL2	0.648683606248126
EVA1A	0.650396321584777
LINC01535	0.675661234583417
SLC6A17	0.677201544810679
PRSS33	0.681212927916155
DBH	0.683846533642734
NOVA1	0.701703004523145
FAM84A	0.705074523825386
FAM19A5	0.713392203976273
SFTPC	0.717043555221815
STK32A	0.719634728269222
PYGO1	0.725712769061776
TFF3	0.7302150834504
CPXM2	0.73769299942764
CPE	0.751441598953942
ACTG2	0.753825006263154
TOX3	0.762647437606629
CXORF67	0.762723132390436
PCDHB2	0.763289292678849
ASCL1	0.777372258504625
KCNC1	0.778205227650519
PCSK1	0.779706692279113
CYP27B1	0.784791789069843
NR0B1	0.792122396655969
SLC22A3	0.799149234081009
ANKFN1	0.799289432561018
PCK1	0.816078830171866
CAMK2N2	0.822106369984816
SCGN	0.822680563812838
SYT4	0.830207481665074
ASXL3	0.835709707102602
CLDN3	0.836444618811416
ACTL6B	0.845880996739169
KCNH5	0.851819184063315
PCDHB4	0.852656729605112
LINC01117	0.855958758116257
TWIST1	0.856642413359751
RP11-94M14.2	0.856909811335147
ENTPD3	0.857054646330512
EEF1A2	0.861431182396167
HOXD8	0.866365566412966
MDK	0.867187558671383
SYT10	0.871286351621809
SPINK5	0.873467755558174
OGN	0.875577731800867
EMX2	0.876337285489198
ARHGAP39	0.877926799112462
BOC	0.879213045718618
RAPGEF5	0.882578451669563
HNF4G	0.88410787327971
TTC6	0.900171225215527
ADRA2C	0.902149888520469
CAMK2N1	0.902481524926042
APOD	0.908073554967757
RP5-984P4.6	0.929909189717979
COX7B2	0.931776420340249
ADIRF	0.934735193833079
PEG10	0.936271133448771
MEIS2	0.946045164343289
LINC00648	0.959239784543714
