logFC	AveExpr	t	P.Value	adj.P.Val
DDR2	16.6072544334959	3.32491230370874	8.21757540013518	3.67472582572226e-12	4.7390839131011e-10
ARHGEF15	13.1408858831803	2.23866873613	8.20659375723802	3.85903365541607e-12	4.94147891124377e-10
KANK3	12.2318295920266	1.96894168479728	8.1980687607721	4.00845299520628e-12	5.09666329777812e-10
SLC16A4	10.9814301786012	3.18264343761914	8.18753696496419	4.20104828988279e-12	5.27273933199908e-10
SLC5A9	15.9251170978892	1.14924506874871	8.18560081750516	4.23744748955532e-12	5.27273933199908e-10
TGFBI	1145.69727854006	90.8434122190228	8.1851791089861	4.24541720762828e-12	5.27273933199908e-10
STK10	41.1598751655205	8.98699168137913	8.18302980598403	4.28626929247098e-12	5.27273933199908e-10
SEMA3A	43.6698602899985	2.89975024567901	8.18268010727936	4.29295309777826e-12	5.27273933199908e-10
NKAIN4	59.9212850653357	2.74529147616394	8.16837687829574	4.57543823026479e-12	5.58172548969127e-10
LOXL4	54.903956462813	3.9560927691358	8.16035965568733	4.74181816817174e-12	5.74587429706985e-10
SERPINE2	479.435200441056	39.3570539149166	8.12555995189575	5.53692399361581e-12	6.66461084698223e-10
POSTN	1156.10545574142	124.171826314879	8.12166884169884	5.6337217196699e-12	6.73621494361855e-10
TCF21	12.1865594505383	0.911666538765432	8.10834194591064	5.97823526020495e-12	7.10112089625002e-10
NLGN3	14.2022294537876	1.32771362611189	8.10686806440032	6.01760561995684e-12	7.10116793910593e-10
MPZ	75.3828981616284	5.72102400493827	8.09893121598456	6.23410835199538e-12	7.30888482436861e-10
MMP16	36.6265562702369	2.77837930012346	8.09682136522036	6.29295835627286e-12	7.33028149177461e-10
FYCO1	11.6805134745782	3.592703115527	8.07712038139322	6.86995963357805e-12	7.95109751181101e-10
EFEMP2	60.2293056807958	15.3967125228313	8.07422232218646	6.95918251620105e-12	8.00305989363121e-10
MMP15	77.6013753859649	7.9084337654321	8.06687524105504	7.19059628634919e-12	8.21684911076168e-10
WISP2	70.0581863068071	4.70912154159658	8.05992426609986	7.41660143064524e-12	8.42180747360376e-10
LINC00518	3.92547742346334	0.181044781567901	8.03078572758903	8.44379885948333e-12	9.52382380733342e-10
RBMS3	22.3067735290005	3.7097834276807	8.02870391194292	8.52240399081593e-12	9.52382380733342e-10
ACVRL1	30.2852513411016	7.73702201493929	8.02810031979704	8.5453306939242e-12	9.52382380733342e-10
GPR153	41.8336931121457	5.9950668308642	8.01011518599273	9.25746120261072e-12	1.01970312822658e-09
CPS1	9.74280899742036	0.832533017252901	8.00951032936557	9.28241377772844e-12	1.01970312822658e-09
ADH1B	206.025017303934	11.8495716621216	8.00863111103217	9.31880455039524e-12	1.01970312822658e-09
IER2	143.556994286025	46.6750425567901	7.99490596502332	9.90570481217215e-12	1.07739458062511e-09
VCL	58.235878369874	17.6696953303704	7.98618553441177	1.02976196905925e-11	1.11331451205777e-09
SYNPO2	20.7584929630736	2.18299647064704	7.97470438288911	1.08373029614786e-11	1.16468752958033e-09
FOXD3	41.4173600274704	2.93074065061728	7.95609463872743	1.17726688054849e-11	1.25772506084633e-09
COL11A2	88.6502245505561	4.57766533090159	7.95154420345345	1.20133841488032e-11	1.27589206356848e-09
TBX22	6.91790649077823	0.286094311111111	7.94292026923147	1.24831413570329e-11	1.31802992515338e-09
PTPRZ1	184.577115089154	9.48451986652559	7.92868144902509	1.32991998932949e-11	1.3960293841479e-09
PCOLCE	103.648137839065	25.5696460552833	7.91926199203796	1.38680915015512e-11	1.44733174601449e-09
CNN1	47.5153631869209	6.82620089855487	7.90633464402165	1.46885767504635e-11	1.52415088062999e-09
PCDH9	19.7609889107574	1.51756566218597	7.90071891703714	1.50599254358002e-11	1.5537540213907e-09
RAB7B	9.66688287077823	2.06974869061728	7.89103115012319	1.57226941273771e-11	1.61291615039655e-09
CYBRD1	83.2701440647271	16.8703050141904	7.88829909772237	1.59148077946138e-11	1.62340030921894e-09
BTBD19	22.1739678489808	2.8594960596099	7.86080273688279	1.79836087260258e-11	1.82412390757525e-09
CTDSPL	30.4503041683236	10.6841443283951	7.85371003133587	1.85594534809152e-11	1.87201638322863e-09
TGFBR2	83.2443485207473	14.737244107945	7.85148329268756	1.87440049195158e-11	1.8801278267881e-09
TBX4	22.2513461767884	2.28272458706463	7.83451260152386	2.02120022317421e-11	2.01617513974643e-09
FBLN5	60.6889756597567	7.33837350336511	7.80437112537168	2.31076347701149e-11	2.29235354821113e-09
FENDRR	12.7643134528474	1.55576582393827	7.79988116470379	2.3573028807975e-11	2.32574336135512e-09
PTPN21	14.0646995347934	3.55129907770259	7.78401910323225	2.52932854966451e-11	2.4819036393583e-09
LHX8	48.6687973823872	2.31346432641975	7.78269556943762	2.54423609271587e-11	2.48303690021541e-09
SCARA5	18.9866229204528	0.843358298765432	7.77749193076633	2.60370132244926e-11	2.52741007402265e-09
SCN7A	17.6925349877805	1.80152150946445	7.77074024806981	2.68292753851771e-11	2.59038805924798e-09
ADAM12	65.9954527705098	5.40948916271605	7.76617271834494	2.73788305810338e-11	2.62938716032215e-09
SNX22	38.0193842824926	5.76279248105621	7.7576467902663	2.84348602858211e-11	2.71635662677514e-09
P2RY1	5.70814593192383	1.01325243209877	7.72148369124336	3.3384614186943e-11	3.17241689023819e-09
NGFR	71.4776270638956	4.65614208950617	7.72000412821795	3.36044782182101e-11	3.1765908598418e-09
FLRT3	35.6246726167491	5.00063906296296	7.69099626439511	3.82188568098524e-11	3.59396593594732e-09
LRRC55	38.0824797183776	1.75713409234568	7.68570752333862	3.91258273957554e-11	3.6587590217515e-09
TCF7L1	28.553903934263	5.15804038765432	7.68463034028104	3.93131681096534e-11	3.6587590217515e-09
DST	236.479149575276	44.2736197232943	7.67056213091951	4.18435656214822e-11	3.87428501177364e-09
SLC6A4	10.1310120134808	0.6255331188805	7.65435162098178	4.49612194764525e-11	4.1417082533028e-09
RSPO1	2.85204763787368	0.212023325800075	7.64971061918066	4.58956879319863e-11	4.20632815031479e-09
EHD2	36.2149505595465	8.78980706129302	7.64119548110892	4.76608459981348e-11	4.34604330553699e-09
SSFA2	217.465543066243	41.7487519684497	7.63629417307083	4.87073865784358e-11	4.407227337927e-09
FAM110D	3.47461782178737	0.648762067901235	7.63577293992758	4.88200203592025e-11	4.407227337927e-09
SEC14L6	4.55675792472634	0.799956804938272	7.62355842772187	5.15350794535679e-11	4.62918338076701e-09
BCHE	215.038350009454	12.161491704321	7.58285797274657	6.17154502280418e-11	5.51620026666978e-09
SH3D19	34.2370104602859	10.0495993146851	7.57905100573157	6.27645546628895e-11	5.57635096408924e-09
MS4A2	8.8749788822807	0.766322216172839	7.57818338244589	6.3006125542742e-11	5.57635096408924e-09
LOXL3	62.1222154616161	9.76659784220211	7.57682865169281	6.33851749768345e-11	5.58253333759389e-09
IGFBP4	306.144839106313	67.2593851851852	7.56977344351168	6.53962400719287e-11	5.73169473057608e-09
ADCY6	103.832502406196	14.7788315866669	7.56836598084091	6.58049760691894e-11	5.73965624603485e-09
TEK	14.7346730482896	1.82453676146526	7.56066355742319	6.80873098630731e-11	5.91017490181627e-09
NDN	63.6805816281301	11.2313173580247	7.55484140367106	6.98646855361776e-11	6.02446305462903e-09
SASH1	29.9458230854666	6.0082569312515	7.55417420797975	7.0071295567549e-11	6.02446305462903e-09
TPTE	8.90951652377718	0.364784681604938	7.55100364208432	7.10614735015417e-11	6.08063935578358e-09
ARHGAP31	10.3509569816644	2.26888984962963	7.53329528474679	7.68537797163206e-11	6.53238114671541e-09
CNTN6	27.7814183339058	1.27185817303335	7.5326767994418	7.70643691083015e-11	6.53238114671541e-09
EMILIN1	59.2925287095696	13.3257964311111	7.49963870662692	8.91902392397702e-11	7.51231333841167e-09
MEGF10	45.9693053195605	2.61406432296354	7.49896314651328	8.94570682779568e-11	7.51231333841167e-09
EMP3	88.8465604643257	31.0626202204532	7.49789827854361	8.98792795086271e-11	7.51282588670492e-09
CYTH3	36.7979449497413	10.6935737318547	7.4850422901286	9.5135950134606e-11	7.91557409990927e-09
TRIL	31.8389820700255	3.97209790123457	7.4732559265937	1.00223855495338e-10	8.28000187138275e-09
MFAP4	330.632023470511	31.5493855271273	7.47278395606924	1.0043314371824e-10	8.28000187138275e-09
FBN1	65.2565331277974	13.7270513644568	7.46700930910856	1.03029343786645e-10	8.45543091849033e-09
F2R	65.7036500928925	16.4309747728395	7.46125001516592	1.05685210738861e-10	8.63414696782865e-09
LAMC1	137.611731515314	28.0457350150038	7.45949714922409	1.06506989333334e-10	8.6620887045646e-09
EPAS1	184.016329798785	32.2613170530864	7.42472470849589	1.24190195511263e-10	1.00549505827616e-08
CCDC102A	7.8154518591663	2.05780291535926	7.42260921751887	1.25355793757946e-10	1.0104012751338e-08
CCL14	109.343620646377	7.6949952987258	7.42050236341267	1.26527460120222e-10	1.01531257443138e-08
SEMA7A	18.1508841024639	3.0860183587111	7.39721617538005	1.40226747101758e-10	1.12026279598329e-08
CNTN3	10.6092985794962	1.25023750567901	7.38919068295784	1.45282534601838e-10	1.15162076453046e-08
NPR1	8.52981551582696	1.48438325555556	7.38840534250362	1.45786917065767e-10	1.15162076453046e-08
ANGPTL1	9.1043385336193	1.03534204744314	7.38797282881845	1.46065441748809e-10	1.15162076453046e-08
NES	97.4027411859199	11.2433971765432	7.38671310363258	1.46879685996982e-10	1.15300553507631e-08
THBS2	208.219966518901	25.9212235417451	7.38319319580071	1.49178871468186e-10	1.16598464257927e-08
TBKBP1	16.6877564569803	3.8186251653747	7.37568595823163	1.54202965502517e-10	1.20005799230515e-08
GATA6-AS1	2.67971531494377	0.546792227901235	7.37132445002028	1.57198830679913e-10	1.21812226949607e-08
PTH1R	6.90999359804117	1.14494177307729	7.36670346481448	1.60436166798371e-10	1.23789529553187e-08
HYAL2	54.2910877866569	27.1992165372722	7.35935474990453	1.65721718424668e-10	1.27323643666271e-08
LRP1	63.8170877865278	17.3615051663964	7.35624754654411	1.68008384166377e-10	1.28533532886608e-08
RASGEF1C	8.47273722902037	0.653261834027162	7.35301824349543	1.70418196246255e-10	1.29827026718402e-08
HSPB7	6.92703644781215	0.973038084941163	7.34597323917184	1.7579548753998e-10	1.33360820484636e-08
FAT4	4.98654068752174	0.741282509894753	7.33612505225631	1.83596596111478e-10	1.38630852575304e-08
CMTM5	6.85551597131333	0.461757699379119	7.33528463792948	1.84278064902093e-10	1.38630852575304e-08
SELP	19.4322861468446	2.07184360518291	7.32464418393116	1.93127000106054e-10	1.44684978710158e-08
MAG	2.61634464577598	0.160908271234568	7.31776201726361	1.99074389322798e-10	1.4852430162079e-08
ERBB3	278.703502328625	34.127051051952	7.30970338583828	2.06270522464856e-10	1.53259847041275e-08
CPAMD8	13.2538812552694	2.5790944724154	7.29274972802034	2.2226594310433e-10	1.64467688637241e-08
GRIA4	12.6293497434491	0.831076314916336	7.28586290591895	2.29110772927973e-10	1.68811934242023e-08
SRPX	25.3755800163638	3.5689866136151	7.28497653174078	2.30006844771741e-10	1.68811934242023e-08
ACTG2	69.0974754694653	10.487761224899	7.28042895697641	2.34659316313834e-10	1.71529309961387e-08
DCN	1255.92280603854	152.035348464268	7.2648233755853	2.51348555384863e-10	1.82987829333617e-08
RAPGEF3	11.4544675734743	2.24169833181691	7.26052256582258	2.56152136596606e-10	1.85736017118543e-08
MDGA2	8.6580607117688	0.464453533643369	7.25725367470946	2.59864171658172e-10	1.87673904771532e-08
PDGFD	42.100307882816	5.37098828271605	7.2308290347246	2.91904112863664e-10	2.0941726722359e-08
KLF2	76.6539482379682	11.6574029774074	7.23052786599752	2.92291062533065e-10	2.0941726722359e-08
PLPP3	62.9979788094317	17.4400004407407	7.21162318602455	3.17629874387221e-10	2.26672228539972e-08
REM1	4.29852765023242	0.697289938271605	7.20650935377912	3.2485199855418e-10	2.3091349739747e-08
EGR1	199.183579482831	35.8820574938272	7.19564547685129	3.4074142503703e-10	2.41214712628582e-08
FGD5	14.5420650855613	3.15109689976379	7.19479606435137	3.4201587611696e-10	2.41214712628582e-08
BACH1	69.6133846223708	17.4792032918552	7.19061378284642	3.48360420738286e-10	2.44733361728784e-08
WFDC1	12.8455739681658	2.3210391674321	7.18927883769766	3.50410084817696e-10	2.45219150441221e-08
SPRED1	26.1933503745764	6.13953311616013	7.15955236221563	3.99291554837028e-10	2.78347838709751e-08
CYP4V2	23.2319313624231	7.46874484197531	7.15407334692552	4.09014694844972e-10	2.84029242900999e-08
MEIS3	62.6383139449824	7.23127773419187	7.13934239650582	4.3633984721595e-10	3.01843522662222e-08
VILL	8.36997267373729	2.65605110744307	7.13735125568066	4.40169972636049e-10	3.02682735317e-08
REP15	4.06049754495427	0.467821654320988	7.13697065077027	4.40905895255447e-10	3.02682735317e-08
SOX5	24.9270522882325	2.8885372491415	7.11605274468548	4.83290674856649e-10	3.3052322479306e-08
FOXF1	9.97586953708202	1.72284900493827	7.10939282350595	4.97617565383555e-10	3.3903717520755e-08
PKDCC	39.1372148861171	9.01697267075418	7.09970014395775	5.19226340968512e-10	3.52429758879191e-08
IGDCC4	13.3544870387729	1.19824975340295	7.08219434087677	5.60644467408108e-10	3.79117447904621e-08
GJA5	21.2905695909944	3.703487912554	7.07327970180191	5.82982120118865e-10	3.9275157383381e-08
BMP1	37.0694791637119	9.17671210907771	7.07171074224156	5.87004078554434e-10	3.93991027446108e-08
MAML2	11.6034776837713	2.60583111569867	7.06549702639095	6.03205441550992e-10	4.03365712859376e-08
ENG	76.7055771777671	20.2275653962741	7.05857717978672	6.21771574935625e-10	4.14246707950654e-08
TPTE2	4.34279852284855	0.451217797159764	7.05149116272412	6.41372289652134e-10	4.25734437120194e-08
DACT3	13.1838356797193	3.25417328573854	7.04934670580962	6.47424280431545e-10	4.26604010028717e-08
IGF2BP2	115.491320069812	9.58103504230506	7.04905318087681	6.48257058199744e-10	4.26604010028717e-08
CD93	38.8692175813465	7.89591274074074	7.04852062819216	6.4977071591192e-10	4.26604010028717e-08
SLC16A5	10.7205117238776	2.85716920902948	7.03332639167322	6.94468640861262e-10	4.53149588310997e-08
KLKB1	5.21891630832343	0.506008041247291	7.03307852887366	6.95222575254202e-10	4.53149588310997e-08
MIR24-2	5.2329266402759	0.618299925925926	7.02837947266773	7.09670792234476e-10	4.60903099057319e-08
HKDC1	1.89840514964597	0.297687649987654	7.0261152210059	7.16738864204156e-10	4.63825096530682e-08
LPCAT2	21.9602305563295	5.06159263522442	7.02161465965075	7.30996197333654e-10	4.71362012244969e-08
SLC27A1	24.0949687570634	6.03861653195668	7.01669186379085	7.46914075184225e-10	4.79912228734918e-08
BMS1P14	5.37951703001949	0.5328081	7.00852208583256	7.74094846411959e-10	4.95612852906664e-08
ADAMTS8	7.97675657127155	0.83649721	6.97582758798053	8.93065200621287e-10	5.6976297516669e-08
C1QTNF1	24.1332973608328	6.82495342080986	6.96114577796248	9.52240677053863e-10	6.05376951556602e-08
SOD3	57.603382354146	9.61315303209877	6.9517805584391	9.92006113938528e-10	6.28444574988075e-08
FKBP10	145.314462418773	27.9688440728395	6.9492562673632	1.00300388076648e-09	6.33190037316042e-08
CHL1	74.1576258720223	7.94221641015823	6.94757370097347	1.01040163907544e-09	6.35637686184917e-08
LINC01606	29.9193160648883	2.17411636777778	6.94223865951383	1.03421859987691e-09	6.48361695165886e-08
PLPP1	53.0235584223047	18.3266967222222	6.93566713549984	1.06432342616627e-09	6.64925932852316e-08
HEG1	36.2415813452973	7.75804853663893	6.9334637532639	1.07461097306885e-09	6.6903796961235e-08
OTOR	4.43584057206478	0.219723480246914	6.92620878435455	1.10918746483738e-09	6.88144930139528e-08
ROBO4	16.6907380814668	3.45722062009879	6.92543838711952	1.11292339850868e-09	6.88144930139528e-08
SLC7A10	4.14850645077538	0.303582268037037	6.92316533854327	1.12401923692558e-09	6.92633697020184e-08
CREB5	29.9834863099151	3.65480916953477	6.91476856042885	1.16596911005534e-09	7.1603987353909e-08
CDC42EP1	33.8647783294872	10.0762362530864	6.91054907222505	1.18763290301327e-09	7.26871595386596e-08
IFFO2	12.8860870459484	3.07308468481481	6.89344584761766	1.279616100038e-09	7.80522590749532e-08
COL6A2	312.904108210195	73.2887854310364	6.88885794843399	1.30547173285563e-09	7.93612529855499e-08
CMTM3	50.9268397182177	19.1160259750992	6.88515048671238	1.32674410603674e-09	8.03837746123939e-08
LYVE1	24.6366570706272	2.51654250129383	6.88385757279912	1.33424315684056e-09	8.05677598553725e-08
FZD4	12.5947562631579	3.82247712345679	6.87698273260536	1.37483074784828e-09	8.27418971746691e-08
EHBP1L1	133.442106473737	26.0256696308642	6.86958916334217	1.41985003538749e-09	8.49019948993423e-08
INMT	47.5191660440996	5.87944058395062	6.86954431669219	1.4201275247633e-09	8.49019948993423e-08
DAGLA	26.9039840467542	4.17062898508124	6.85926236148952	1.48519001268761e-09	8.8498698610808e-08
FOSB	88.6121773172314	10.3635412064498	6.83910785995997	1.6214334430351e-09	9.62992789934169e-08
SYNC	4.31529760669315	0.679291335265398	6.83499155686562	1.65074950529623e-09	9.77189584200765e-08
COL18A1	173.811434553147	36.3802661210304	6.83327337894405	1.66314139792631e-09	9.81307775802601e-08
CCL17	8.48834093223872	0.867402617283951	6.82545349130038	1.72071721987939e-09	1.01055860133738e-07
C7	141.868087524605	14.2735776557055	6.82502741506051	1.72391054672896e-09	1.01055860133738e-07
CA3	9.68648359632629	1.34372756790123	6.81757228823511	1.78074650117649e-09	1.04049767245118e-07
NEXN	16.4300824942567	3.4070589008274	6.80393611729382	1.88956057263409e-09	1.10051664964221e-07
FHDC1	38.0940807991007	7.03073724722245	6.79647186451694	1.95189344315706e-09	1.13316514843089e-07
TMEM150A	11.3272538616623	5.0889965755232	6.77998750027345	2.09687662351805e-09	1.2134329306929e-07
TRIM6	3.59252825729986	0.85365675399595	6.77506636438408	2.14219547713864e-09	1.23291266297614e-07
PTGIR	7.89544316564978	2.22976872585679	6.77485152479087	2.14419593561068e-09	1.23291266297614e-07
PTPRB	17.3829611894954	3.19241121431691	6.77271283532919	2.1642115225058e-09	1.24047108059817e-07
CD1C	8.0081583811667	1.01098195736591	6.76904615265934	2.19895975162745e-09	1.25639435536542e-07
PCDHGC3	69.700534842855	22.158682262963	6.76831968144707	2.20590977929016e-09	1.25639435536542e-07
ITIH5	27.6790149267706	3.17640412645185	6.76172090547281	2.27004599426803e-09	1.28885787504746e-07
ADGRF5	36.3035781747298	8.53420876815498	6.7434532139393	2.45741235144687e-09	1.39086457697095e-07
ASIC4	7.48880466878474	0.528287882219442	6.73997036345906	2.49483908611933e-09	1.40763499062139e-07
WTH3DI	2.46796575519718	0.132075084074074	6.73386040924095	2.56186830679776e-09	1.44095116134684e-07
CFD	106.528075219863	13.998861770217	6.73284406550152	2.57319016854107e-09	1.44282448736053e-07
ADAMTS3	2.42949063902825	0.359754132273444	6.73047325836155	2.59979384409889e-09	1.45322841656983e-07
ELK3	40.7158771204678	12.8467195987654	6.72665074460841	2.64326358767123e-09	1.47296679245074e-07
HPSE2	12.5607101582379	0.96764774463476	6.71227761156538	2.81326742650099e-09	1.56287825801463e-07
COL14A1	62.4168190018216	7.44990332394468	6.71046395089837	2.83547590315895e-09	1.57038397029248e-07
CD200	140.524419473911	27.7646671425579	6.70671988338906	2.88187412180419e-09	1.59097642956327e-07
SH3TC2	3.37035015523121	0.313377199910641	6.70604788703994	2.89028119023402e-09	1.59097642956327e-07
MRGPRF	9.31020779090796	1.2117063074851	6.69284229320002	3.06051755774463e-09	1.67900913811622e-07
MYL9	256.388013645224	54.2036380246914	6.69221805257189	3.06880651109584e-09	1.67900913811622e-07
MRVI1	12.1703441638055	2.59769090838698	6.69025569430303	3.09500893383689e-09	1.68822919336632e-07
ZBTB47	9.04800496330784	3.30810016666667	6.6881599092832	3.12323807658814e-09	1.69473089338887e-07
RARA	49.7633763890498	13.8664896871285	6.68797791998468	3.12570139849622e-09	1.69473089338887e-07
TRIM71	3.19749142482681	0.340073585555556	6.68196057353799	3.20824388361332e-09	1.73427674606702e-07
PEAR1	8.98390640491106	1.9567143511428	6.67969386008484	3.23989495605915e-09	1.74615831139248e-07
CST5	1.70999407557355	0.167339522222222	6.67424606276719	3.31723739218879e-09	1.78252146178478e-07
OLFML1	14.3798384717325	2.67808526103704	6.65983452844048	3.53078161939176e-09	1.89163982605692e-07
MCAM	158.631394223953	43.7166557045445	6.64433854806209	3.77562394093834e-09	2.01683107259295e-07
DLX1	199.520042565206	16.9939156269307	6.63727676060145	3.89271826105031e-09	2.07324566971278e-07
PREX1	54.0923051957503	12.2054455345809	6.63159949912946	3.98946105155637e-09	2.11852115546619e-07
ADCY4	18.1657218828633	3.47830783740533	6.62859540637653	4.04161279927311e-09	2.1399213809641e-07
SSPN	14.2101419173838	2.75186944824866	6.61501913280285	4.28585921546691e-09	2.26260784021214e-07
KCNA2	6.77540362242954	0.61444861025355	6.60648865969743	4.44675862271092e-09	2.34070632457859e-07
ADRB2	4.37546443562753	0.661411320987654	6.59506563314211	4.67163303312258e-09	2.45192832596012e-07
WNK4	6.24702507580852	0.839832462647313	6.56991077735594	5.20736260366752e-09	2.72518642925267e-07
EN2	7.21617178054956	0.609547525308642	6.54611202891594	5.7701154030261e-09	3.01096628906463e-07
NID1	111.41427193668	18.2665721420522	6.53660286428676	6.01146943295884e-09	3.12786975827296e-07
GLI1	3.12577786851762	0.724796924987096	6.52568686664032	6.30088708613092e-09	3.26903782586476e-07
MAMDC2	19.2993577266832	2.71509205432099	6.5164514669732	6.55650068101047e-09	3.39190887666602e-07
JAK3	20.2466635123518	3.56671264520601	6.50691480441696	6.83123833632136e-09	3.52394309035092e-07
KLK7	2.1927344754221	0.25294954308642	6.50537740821601	6.87658392264743e-09	3.53722856761822e-07
RGMB	44.7694884205278	11.6249432277778	6.49734828652202	7.118294407956e-09	3.65115924817175e-07
PLAG1	12.6625710756335	1.78149539382716	6.48274374493194	7.57973254548012e-09	3.87682920987659e-07
FOS	791.355809079689	115.741024636815	6.47548271242605	7.82005825979573e-09	3.98845061809638e-07
TNXB	34.7053603196338	3.85132772737009	6.4562610962529	8.49331506470639e-09	4.31962826741616e-07
SCARA3	22.1346039618084	4.97019941604938	6.45222599457464	8.64177933264e-09	4.38279005198919e-07
SYNPO	35.5444021983553	9.35368097912909	6.44984213704617	8.73069410537423e-09	4.41548129054711e-07
LCTL	2.65714692648567	0.345537678302956	6.4471039918556	8.83394208648145e-09	4.45521855786096e-07
PTGDS	403.665443136437	45.7443645641975	6.44496870171706	8.91529662876633e-09	4.48372369449515e-07
LAMB1	133.315960190666	38.5606571598795	6.43991936903532	9.11064057276285e-09	4.56923932058981e-07
FGF7	29.8133127619572	5.41461537086938	6.43909163589728	9.14306515059519e-09	4.57279892781153e-07
FSTL3	21.8481285004425	7.07784538608395	6.4200249870314	9.92242433654428e-09	4.94887766288141e-07
TMEM119	34.1872770836542	5.74113730975309	6.41105448243442	1.03115157123084e-08	5.12877179575009e-07
GDF10	5.15505225818114	0.55983454308642	6.4093383106682	1.03876576390035e-08	5.15244941407165e-07
AQP1	221.970320556679	37.6482575728419	6.40770714764403	1.04605439877944e-08	5.17438689588021e-07
APOD	299.632714052062	27.6720610209877	6.39561684303592	1.10168056490202e-08	5.43465644789781e-07
AGRN	137.033082774725	26.102382251902	6.38694486149331	1.14337379902161e-08	5.62496292679434e-07
HOXA5	27.6928184838027	8.66084150765432	6.38017986479895	1.17698013363056e-08	5.77455878062495e-07
PRX	5.6608583062828	1.14331627703704	6.37001857478228	1.22930426246747e-08	5.99960326455128e-07
RBPMS	50.915551418925	15.6089285459728	6.36998232430528	1.22949499190472e-08	5.99960326455128e-07
LINC01087	6.50057322550607	0.608925045679012	6.36319233159046	1.26574169106425e-08	6.15982917309029e-07
PLSCR4	32.4422926326557	8.77670330219541	6.35707537214685	1.29930029323261e-08	6.30614698771905e-07
SERPINA5	5.19883339848776	0.495753655205152	6.35462492917526	1.31298958709485e-08	6.35550321581701e-07
ANKRD50	25.4034624711735	7.65721560241975	6.34229839537508	1.38404686851993e-08	6.68040284772411e-07
THBD	29.4166941355526	5.13254641975309	6.34171359570617	1.38751097640351e-08	6.68040284772411e-07
PLA2G5	5.47785573345568	1.1817051942285	6.32148306062355	1.51277985947138e-08	7.26415967094571e-07
RNASE1	397.722744203685	101.489546219305	6.31643872662121	1.54571964045787e-08	7.40264406060129e-07
TNS1	60.5696566553452	13.9170087189817	6.30613518597578	1.61522400721762e-08	7.71504482812543e-07
GPR22	7.71598226129405	0.444792094938272	6.29672964793248	1.68136645190057e-08	8.00978134276118e-07
PLN	159.911671921817	11.904355582716	6.29002564260334	1.73014013513792e-08	8.22044214208295e-07
LDB2	31.8507779840936	6.44297512886777	6.28176533427102	1.79216530518201e-08	8.49279385434676e-07
MEOX1	5.9981014766121	0.733493451629941	6.27092766340137	1.87689130656775e-08	8.87101375394782e-07
HRCT1	4.46570767413405	0.606419682716049	6.26714410986455	1.90739375981446e-08	8.99164342909923e-07
PCDH20	11.3117620722702	1.25624520209877	6.2633055619127	1.93884071591781e-08	9.11608570986878e-07
FREM1	31.9883349877381	2.91104964478749	6.25559671229237	2.00355233236825e-08	9.39587983400227e-07
TIMP3	223.789199550157	47.3490548148148	6.24891481640431	2.06136885258549e-08	9.64197270296142e-07
SLC51B	3.03391089641625	0.667339088888889	6.24622106908993	2.08514114942386e-08	9.72796471649814e-07
MMRN2	18.5454817367938	5.23200006377152	6.23539322526229	2.18346359060801e-08	1.01604214248525e-06
P2RX6	7.98947785351838	1.40787767772241	6.23123908199386	2.22239068286953e-08	1.03149778352723e-06
FCRLB	1.98024307355931	0.389134482188332	6.22076209926737	2.32364219335207e-08	1.07572717438389e-06
TMEM92	4.17228150125206	0.683837145679012	6.19754379197166	2.56457275871983e-08	1.18422918564416e-06
F7	3.36157008906718	0.369489943876543	6.19649664041584	2.57600248930111e-08	1.1864725751105e-06
AC008522.1	8.2733449555692	1.40571731487942	6.19533539607642	2.58873646153074e-08	1.18930373569815e-06
ST3GAL1	120.816139176789	13.8483282007765	6.18926854523362	2.65628329006969e-08	1.21723844675655e-06
MAMLD1	5.17280984336588	1.1713215998848	6.1835977347971	2.72099521324215e-08	1.24373591329334e-06
DIO3OS	5.24938192836706	0.677935003856129	6.17849069242874	2.78060640615507e-08	1.26777395613964e-06
ST8SIA1	13.6210541950155	3.65909256138383	6.16644290212007	2.92639686549457e-08	1.32771375607822e-06
ATP10B	4.74411371007628	0.618016661640178	6.16566997483614	2.93600387500859e-08	1.32771375607822e-06
IGDCC3	17.880435148264	2.32906628054249	6.16552206718935	2.93784582693403e-08	1.32771375607822e-06
PDGFA	22.4950619395356	5.54257781210407	6.16522994179618	2.94148713614671e-08	1.32771375607822e-06
GJD4	2.54360695955915	0.419571977777778	6.15692415853317	3.04690549088711e-08	1.37153611566137e-06
STRA6	114.514567909616	14.851499974473	6.15639348813566	3.05376637217321e-08	1.37153611566137e-06
S1PR1	24.325847631414	6.03516242345679	6.15384731048251	3.086898175714e-08	1.38297634150165e-06
THSD1	7.64466996104363	1.56389469876543	6.14535579947414	3.19998246451768e-08	1.43009117318977e-06
PHLDB1	196.840436747066	47.0626815024939	6.14124539097254	3.25618351658004e-08	1.45161465165068e-06
CYP27C1	10.0143121241957	0.957101900012346	6.13790098790811	3.30263005473524e-08	1.46869422754298e-06
ST3GAL6	45.7486986359307	9.67857421568342	6.10955181763385	3.72356863102967e-08	1.65181895904768e-06
SMAD6	8.67408399221451	2.26582959782255	6.08701972808627	4.09558532623472e-08	1.81239688885215e-06
TMEM133	8.53174621277552	2.42205524691358	6.07666804864734	4.27858635826554e-08	1.88875004152774e-06
COL9A3	276.718922135423	21.0261473421202	6.07016347782306	4.39768559793374e-08	1.93659057245595e-06
