Lab ID new	CD4+ Tconv	CD4+ Treg	CD8+ T Effector-like	CD8+ T Exhausted	CD8+ T Memory-like	Tgd	Recurrent SCLC Cluster
RU1195A	31.161780673181326	4.99457111834962	4.451682953311618	46.68838219326818	12.59500542888165	0.10857763300760044	18.7
RU426B	34.90566037735849	16.9811320754717	1.4150943396226416	4.716981132075472	41.9811320754717	0.0	15.7
RU1215	85.75	1.25	0.0	0.25	12.5	0.25	12.7
RU779D	31.74846625766871	11.758691206543967	0.9202453987730062	0.6134969325153374	54.95910020449898	0.0	7.8
RU1229A_Frozen	44.25531914893617	7.659574468085106	2.9787234042553195	4.25531914893617	40.42553191489361	0.425531914893617	6.6
RU1181C	28.57142857142857	28.957528957528954	6.177606177606178	3.088803088803089	33.204633204633204	0.0	0.0
RU1124A_LN	56.85483870967742	2.0161290322580645	17.137096774193548	0.20161290322580644	23.790322580645164	0.0	4.2
PleuralEffusion	49.06387665198238	0.05506607929515419	0.22026431718061676	0.3303964757709251	10.462555066079295	39.86784140969163	3.6
RU1065C	39.40217391304348	4.030797101449275	2.5815217391304346	1.358695652173913	52.58152173913043	0.04528985507246377	3.0
RU1144_T	42.016806722689076	12.605042016806722	5.042016806722689	0.8403361344537815	39.49579831932773	0.0	1.8
RU1152	65.0375939849624	3.3834586466165413	2.2556390977443606	3.007518796992481	26.31578947368421	0.0	1.8
RU1311A_T_1	73.14814814814815	0.9259259259259258	0.9259259259259258	0.9259259259259258	24.074074074074073	0.0	1.2
RU1066	37.32876712328767	7.876712328767123	2.054794520547945	1.4840182648401825	51.02739726027398	0.228310502283105	1.2
RU1108a	10.204081632653061	30.612244897959183	2.0408163265306123	6.122448979591836	51.02040816326531	0.0	1.2
RU1293A	50.0	14.150943396226415	6.132075471698113	2.358490566037736	27.358490566037734	0.0	1.2
RU1145	28.251121076233183	10.31390134529148	1.7937219730941705	3.3632286995515694	55.82959641255605	0.4484304932735426	0.6
RU1231A	57.446808510638306	4.25531914893617	0.0	0.0	36.17021276595745	2.127659574468085	0.6
RU1322A_LN	34.0	18.0	2.0	0.0	46.0	0.0	0.6
RU1144_LN	38.00738007380074	4.428044280442804	26.937269372693727	0.36900369003690037	25.461254612546124	4.797047970479705	0.0
RU1080C	51.010101010101	5.808080808080808	5.05050505050505	1.7676767676767675	36.36363636363637	0.0	0.0
