index	primerid	Pr(>Chisq)	coef	ci.hi	ci.lo	fdr	gene	log2fc	pval	mean	score
GRP	GRP	1.19431692841618e-38	-0.7036819351911229	-0.600059415978484	-0.807304454403763	4.7863822375920996e-36	GRP	-0.7036819351911229	1.19431692841618e-38	3.6813126	-125.9770818793493
FTL	FTL	5.847011661581149e-88	-0.6226678469470109	-0.5635649083931329	-0.6817707855008879	1.4840690099036597e-84	FTL	-0.6226678469470109	5.847011661581149e-88	4.588283	-289.7819728813828
SEC11C	SEC11C	3.2566119113783895e-124	-0.8254244514947049	-0.7592118687093471	-0.8916370342800629	4.959494279838138e-120	SEC11C	-0.8254244514947049	3.2566119113783895e-124	4.457031	-410.2157119612176
