index	primerid	Pr(>Chisq)	coef	ci.hi	ci.lo	fdr	gene	log2fc	pval	mean	score
VIM	VIM	1.4898454293143698e-90	1.2604573149254699	1.37557614479685	1.14533848505409	2.3147728435257394e-86	VIM	1.2604573149254699	1.4898454293143698e-90	2.4702344	298.3983658802686
ID3	ID3	1.79021890708e-30	0.6522007894271129	0.778033321051885	0.52636825780234	3.973518737043129e-27	ID3	0.6522007894271129	1.79021890708e-30	1.618557	98.81770683631066
ID1	ID1	2.0408426227540498e-25	0.6800264479028649	0.804496106599775	0.555556789205954	1.9817857393581e-22	ID1	0.6800264479028649	2.0408426227540498e-25	1.6167613	82.01903743730304
METRN	METRN	5.320052633883419e-38	-0.791526723696162	-0.6903274385059699	-0.8927260088863531	2.7552552590882296e-34	METRN	-0.791526723696162	5.320052633883419e-38	1.7760584	-123.82182708663485
HES6	HES6	4.07669723517287e-51	-0.919428206023952	-0.7997420618427821	-1.03911435020512	3.1669822471440503e-47	HES6	-0.919428206023952	4.07669723517287e-51	3.815259	-167.39093202334982
