index	primerid	Pr(>Chisq)	coef	ci.hi	ci.lo	fdr	gene	log2fc	pval	mean	score
SEC11C	SEC11C	4.84885698436228e-26	1.17331481716238	1.37575236130793	0.970877273016832	5.242584171492489e-22	SEC11C	1.17331481716238	4.84885698436228e-26	2.3049839	84.09248576458363
GRP	GRP	1.66948439214239e-10	0.8591046198522709	1.11105179694166	0.6071574427628791	9.02523262392177e-07	GRP	0.8591046198522709	1.66948439214239e-10	0.9608437	32.47987834303416
ASCL1	ASCL1	1.3462603573088798e-08	0.7111580418012179	0.963736959678625	0.45857912392380995	4.6471665033914e-05	ASCL1	0.7111580418012179	1.3462603573088798e-08	1.8625832	26.146467315068
ATF5	ATF5	1.72495641662433e-06	0.589213874373705	0.833903030236015	0.344524718511395	0.0026643183966489	ATF5	0.589213874373705	1.72495641662433e-06	0.7595954	19.14500865863005
